"","PathogenName","Pathogen_Harmonised","UNsubregion","CountryISO_EID2Wertheim"
"172","primate t-lymphotropic virus 4","primate t-lymphotropic virus 4",NA,NA
"173","pseudocowpox","pseudocowpox",NA,NA
"174","punta toro","punta toro",NA,NA
"175","puumala","puumala","Central Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","ES,IT,DE,BE,NL,DK,NO,SE,FI,PL,LT,LV,EE,KZ,UA,CZ,SI,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,TR,MK"
"176","rabies, rabies lyssavirus","rabies","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Micronesia, Polynesia","AG,DZ,AZ,AL,AM,AO,AS,AR,AU,BH,BB,BM,BS,BD,BZ,BA,BO,MM,BJ,SB,BR,BG,BN,CA,KH,LK,CG,CD,BI,CN,AF,BT,CL,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,CY,DK,DJ,DM,DO,EC,EG,IE,GQ,EE,ER,SV,ET,AT,CZ,GF,FI,FJ,FK,FM,PF,FR,GM,GA,GE,GH,GD,GL,DE,GU,GR,GT,GN,GY,HT,HN,HR,HU,IS,IN,IR,IL,IT,CI,IQ,JP,JM,JO,KE,KG,KP,KI,KR,KW,KZ,LA,LB,LV,BY,LT,LR,SK,LI,LY,MG,MQ,MN,MS,MK,ML,MA,MU,MR,MT,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,BE,HK,MP,FO,AD,GI,IM,LU,MO,MC,PS,ME,YT,AX,NF,CC,BV,TF,HM,IO,CX,UM,VU,NG,NL,NO,NP,NR,SR,NI,NZ,PY,PE,PK,PL,PA,PT,PG,GW,QA,RE,RO,MD,PH,PR,RU,RW,SA,KN,SC,ZA,LS,BW,SN,SI,SL,SG,SO,ES,LC,SD,SE,SY,CH,TT,TH,TJ,TK,TO,TG,ST,TN,TR,TV,TM,TZ,UG,GB,UA,US,BF,UY,UZ,VC,VE,VG,VN,VI,WF,WS,SZ,YE,ZM,ZW,ID,GP,AN,AE,TL,PN,PW,MH,PM,SH,SM,TC,EH,RS,VA,MF,BL,GG,JE,GS,TW"
"177","reston ebolavirus","reston ebolavirus",NA,NA
"178","rift valley fever, rift valley phlebovirus","rift valley","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD,SO,ET,KE,UG,TZ,BI,RW,ZA,LS,BW,ZW,ZM,AO,MZ"
"179","rio bravo","rio bravo",NA,NA
"180","rio mamore","rio mamore","South America","BR,BO"
"181","ross river","ross river","South-eastern Asia, Australia and New Zealand, Melanesia, Polynesia","AU,PG,ID,NC,FJ,AS,CK"
"182","rotavirus a","rotavirus a","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,IL,ZW,ET,ZA,IN,CN,MW,JP,CM,DK,ES,AU,BR,IE,AR,DE,BE,TR,EC,NG,US,TW,TH,GB,GW,GH,VN,IT,MM,FI,CD,HU,MY,KR,RU,BD,PY,CU,NP,LY,MX,FR,CI,MA,NZ,SI,PK,EG,SA,IR,PH,HK,CA"
"183","rotavirus b","rotavirus b","Eastern Asia, South-eastern Asia, Southern Asia","CN,MM,BD,IN"
"184","rotavirus c","rotavirus c","South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Australia and New Zealand","TR,VE,AU,CN,US,GB,JP,BR,CO,KR,ES,BD,RU,IN,TH"
"185","rotavirus d","rotavirus d","South America, Southern Asia, Western Europe","BR,IN,DE"
"186","rotavirus e","rotavirus e",NA,NA
"187","rotavirus f","rotavirus f",NA,NA
"188","saaremaa","saaremaa",NA,NA
"189","sapporo","sapporo",NA,NA
"190","semliki forest","semliki forest",NA,NA
"191","seoul","seoul","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Micronesia, Polynesia","AG,DZ,AZ,AL,AM,AO,AS,AR,AU,BH,BB,BM,BS,BD,BZ,BA,BO,MM,BJ,SB,BR,BG,BN,CA,KH,LK,CG,CD,BI,CN,AF,BT,CL,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,CY,DK,DJ,DM,DO,EC,EG,IE,GQ,EE,ER,SV,ET,AT,CZ,GF,FI,FJ,FK,FM,PF,FR,GM,GA,GE,GH,GD,GL,DE,GU,GR,GT,GN,GY,HT,HN,HR,HU,IS,IN,IR,IL,IT,CI,IQ,JP,JM,JO,KE,KG,KP,KI,KR,KW,KZ,LA,LB,LV,BY,LT,LR,SK,LI,LY,MG,MQ,MN,MS,MK,ML,MA,MU,MR,MT,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,BE,HK,MP,FO,AD,GI,IM,LU,MO,MC,PS,ME,YT,AX,NF,CC,BV,TF,HM,IO,CX,UM,VU,NG,NL,NO,NP,NR,SR,NI,NZ,PY,PE,PK,PL,PA,PT,PG,GW,QA,RE,RO,MD,PH,PR,RU,RW,SA,KN,SC,ZA,LS,BW,SN,SI,SL,SG,SO,ES,LC,SD,SE,SY,CH,TT,TH,TJ,TK,TO,TG,ST,TN,TR,TV,TM,TZ,UG,GB,UA,US,BF,UY,UZ,VC,VE,VG,VN,VI,WF,WS,SZ,YE,ZM,ZW,ID,GP,AN,AE,TL,PN,PW,MH,PM,SH,SM,TC,EH,RS,VA,MF,BL,GG,JE,GS,TW"
"192","shuni, shuni orthobunyavirus","shuni",NA,NA
"193","sin nombre","sin nombre","Northern America","US,CA"
"194","sindbis","sindbis","Eastern Europe, Northern Europe","SE,FI,RU,NO"
"195","tacaiuma","tacaiuma",NA,NA
"196","tacaribe","tacaribe",NA,NA
"197","tai forest ebolavirus, cote d'ivoire ebolavirus","tai forest ebolavirus",NA,NA
"198","tanapox","tanapox",NA,NA
"199","thailand","thailand",NA,NA
"200","thogoto","thogoto",NA,NA
"201","tick-borne encephalitis","tick-borne encephalitis","Eastern Europe, Northern Europe, Southern Europe","SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV"
"202","tick-borne encephalitis (far eastern), tick-borne encephalitis (siberian)","tick-borne encephalitis (far eastern)",NA,NA
"203","tioman","tioman",NA,NA
"204","trubanaman","trubanaman",NA,NA
"205","tula","tula",NA,NA
"206","una","una",NA,NA
"207","usutu","usutu","Northern Africa, Eastern Africa, Middle Africa, Western Africa, Southern Europe, Western Europe","SN,CF,NG,UG,BF,CI,MA,IT,AT"
